date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:02:48	144881/144881	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2016:32:48%20GMT	https://www.ieee.org/communities/ieee-resource-centers/find-your-ieee-resource-center.html?campaignid=14428110947&adgroupid=137210504296&keyword=engineering%20organization&gclid=Cj0KCQiAgribBhDkARIsAASA5bsDAxa-cz_umnTrIYKde3SZtoGdUsWkEmquqbTWy4h7y7WQsGZbdgMaAiU4EALw_wcB	C:/My%20Web%20Sites/vin31/www.ieee.org/communities/ieee-resource-centers/find-your-ieee-resource-centerafa0.html	(from )
22:02:49	1960/1960	---M--	200	added ('OK')	text/plain	etag:%227a8-5c614412717db%22	https://www.ieee.org/robots.txt		(from )
22:02:51	101459/101459	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Nov%202022%2016:32:51%20GMT	https://www.ieee.org/content/dam/ieee-org/ieee-web/images/10029837.jpg	C:/My%20Web%20Sites/vin31/www.ieee.org/content/dam/ieee-org/ieee-web/images/10029837.jpg	(from https://www.ieee.org/communities/ieee-resource-centers/find-your-ieee-resource-center.html?campaignid=14428110947&adgroupid=137210504296&keyword=engineering%20organization&gclid=Cj0KCQiAgribBhDkARIsAASA5bsDAxa-cz_umnTrIYKde3SZtoGdUsWkEmquqbTWy4h7y7WQsGZbdgMaAiU4EALw_wcB)
22:02:53	144881/144881	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2016:32:53%20GMT	https://www.ieee.org/communities/ieee-resource-centers/find-your-ieee-resource-center.html	C:/My%20Web%20Sites/vin31/www.ieee.org/communities/ieee-resource-centers/find-your-ieee-resource-center.html	(from https://www.ieee.org/communities/ieee-resource-centers/find-your-ieee-resource-center.html?campaignid=14428110947&adgroupid=137210504296&keyword=engineering%20organization&gclid=Cj0KCQiAgribBhDkARIsAASA5bsDAxa-cz_umnTrIYKde3SZtoGdUsWkEmquqbTWy4h7y7WQsGZbdgMaAiU4EALw_wcB)
22:02:53	8853/8853	---M-Z	200	added ('OK')	text/css	date:Mon,%2020%20Jul%202020%2017:40:45%20GMT	https://www.ieee.org/etc.clientlibs/foundation/clientlibs/main.min.b4994788cf1eaeed300a0aa7af53f3c8.css	C:/My%20Web%20Sites/vin31/www.ieee.org/etc.clientlibs/foundation/clientlibs/main.min.b4994788cf1eaeed300a0aa7af53f3c8.css	(from https://www.ieee.org/communities/ieee-resource-centers/find-your-ieee-resource-center.html?campaignid=14428110947&adgroupid=137210504296&keyword=engineering%20organization&gclid=Cj0KCQiAgribBhDkARIsAASA5bsDAxa-cz_umnTrIYKde3SZtoGdUsWkEmquqbTWy4h7y7WQsGZbdgMaAiU4EALw_wcB)
22:02:53	100237/100237	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2020%20Jul%202020%2017:52:29%20GMT	https://www.ieee.org/etc.clientlibs/clientlibs/granite/jquery.min.1494c0abbe501301e2ab9daecc6082a8.js	C:/My%20Web%20Sites/vin31/www.ieee.org/etc.clientlibs/clientlibs/granite/jquery.min.1494c0abbe501301e2ab9daecc6082a8.js	(from https://www.ieee.org/communities/ieee-resource-centers/find-your-ieee-resource-center.html?campaignid=14428110947&adgroupid=137210504296&keyword=engineering%20organization&gclid=Cj0KCQiAgribBhDkARIsAASA5bsDAxa-cz_umnTrIYKde3SZtoGdUsWkEmquqbTWy4h7y7WQsGZbdgMaAiU4EALw_wcB)
22:02:54	8118/8118	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2020%20Jul%202020%2017:52:29%20GMT	https://www.ieee.org/etc.clientlibs/clientlibs/granite/utils.min.4a192b590a2c2926fb000264370c0588.js	C:/My%20Web%20Sites/vin31/www.ieee.org/etc.clientlibs/clientlibs/granite/utils.min.4a192b590a2c2926fb000264370c0588.js	(from https://www.ieee.org/communities/ieee-resource-centers/find-your-ieee-resource-center.html?campaignid=14428110947&adgroupid=137210504296&keyword=engineering%20organization&gclid=Cj0KCQiAgribBhDkARIsAASA5bsDAxa-cz_umnTrIYKde3SZtoGdUsWkEmquqbTWy4h7y7WQsGZbdgMaAiU4EALw_wcB)
22:02:54	3681/3681	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2020%20Jul%202020%2017:40:23%20GMT	https://www.ieee.org/etc.clientlibs/clientlibs/granite/jquery/granite.min.543d214c88dfa6f4a3233b630c82d875.js	C:/My%20Web%20Sites/vin31/www.ieee.org/etc.clientlibs/clientlibs/granite/jquery/granite.min.543d214c88dfa6f4a3233b630c82d875.js	(from https://www.ieee.org/communities/ieee-resource-centers/find-your-ieee-resource-center.html?campaignid=14428110947&adgroupid=137210504296&keyword=engineering%20organization&gclid=Cj0KCQiAgribBhDkARIsAASA5bsDAxa-cz_umnTrIYKde3SZtoGdUsWkEmquqbTWy4h7y7WQsGZbdgMaAiU4EALw_wcB)
22:02:54	16/16	---M--	200	added ('OK')	application/javascript	date:Mon,%2020%20Jul%202020%2017:40:38%20GMT	https://www.ieee.org/etc.clientlibs/foundation/clientlibs/jquery.min.dd9b395c741ce2784096e26619e14910.js	C:/My%20Web%20Sites/vin31/www.ieee.org/etc.clientlibs/foundation/clientlibs/jquery.min.dd9b395c741ce2784096e26619e14910.js	(from https://www.ieee.org/communities/ieee-resource-centers/find-your-ieee-resource-center.html?campaignid=14428110947&adgroupid=137210504296&keyword=engineering%20organization&gclid=Cj0KCQiAgribBhDkARIsAASA5bsDAxa-cz_umnTrIYKde3SZtoGdUsWkEmquqbTWy4h7y7WQsGZbdgMaAiU4EALw_wcB)
22:02:54	19978/19978	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2020%20Jul%202020%2017:40:38%20GMT	https://www.ieee.org/etc.clientlibs/foundation/clientlibs/shared.min.9f3716b2c473fd53ab31b1caa53131a8.js	C:/My%20Web%20Sites/vin31/www.ieee.org/etc.clientlibs/foundation/clientlibs/shared.min.9f3716b2c473fd53ab31b1caa53131a8.js	(from https://www.ieee.org/communities/ieee-resource-centers/find-your-ieee-resource-center.html?campaignid=14428110947&adgroupid=137210504296&keyword=engineering%20organization&gclid=Cj0KCQiAgribBhDkARIsAASA5bsDAxa-cz_umnTrIYKde3SZtoGdUsWkEmquqbTWy4h7y7WQsGZbdgMaAiU4EALw_wcB)
